quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id
200206,9,210101,3,0.69,Q,210101
199901,937,210101,13,0.44999999,,210101
199211,16,210101,9,0.54000002,,210101
199606,187,210101,8,0.76999998,,210101
200204,807,210101,8,0.38999999,Q,210101
199603,25,210101,9,0.47,,210101
199604,9,210101,13,0.73000002,,210101
199612,23,210101,3,0.41999999,,210101
199701,179,210101,8,0.63,,210101
200206,53,210101,12,0.87,,210101
199109,59,210101,8,0.43000001,,210101
199309,10,210101,6,0.81,,210101
199312,901,210101,9,0.28999999,,210101
199109,132,210101,3,0.49000001,,210101
198908,21,210101,4,0.57999998,,210101
199211,802,210101,2,0.49000001,,210101
200109,137,210101,3,0.38999999,,210101
198906,1,210101,3,0.44,,210101
199901,115,210101,3,0.88999999,,210101
200007,53,210101,3,1,,210101
198912,3,210101,13,0.54000002,,210101
199109,67,210101,12,0.58999997,,210101
199606,901,210101,7,0.41999999,,210101
198904,4,210101,2,0.57999998,,210101
199310,96,210101,8,0.75999999,,210101
199901,808,210101,10,0.34999999,,210101
199111,1,210101,11,0.58999997,,210101
199502,926,210101,8,0.38999999,,210101
199604,44,210101,4,0.69,,210101
199311,910,210101,3,0.47,,210101
200112,807,210101,12,0.38999999,,210101
199109,4,210101,10,0.44999999,,210101
198904,1,210101,9,0.44,,210101
199203,31,210101,6,0.41999999,,210101
199907,34,210101,3,0.75,,210101
200210,937,210101,7,0.58999997,,210101
198905,27,210101,5,0.57999998,,210101
199604,4,210101,4,0.86000001,,210101
198909,1,210101,8,0.44999999,,210101
200207,941,210101,4,0.58999997,,210101
200211,803,210101,6,0.76999998,,210101
200308,808,210101,10,0.36000001,Q,210101
200003,160,210101,9,0.83999997,,210101
199712,85,210101,12,0.58999997,,210101
199010,11,210101,13,0.56,,210101
200106,802,210101,4,0.38999999,,210101
199706,803,210101,9,0.27000001,,210101
198810,7,210101,2,0.56,,210101
199606,801,210101,9,0.41999999,,210101
199508,3,210101,4,0.85000002,,210101
199304,17,210101,3,0.88999999,,210101
199011,2,210101,6,0.52999997,,210101
200101,17,210101,12,0.94999999,,210101
199812,802,210101,5,0.34999999,,210101
199103,16,210101,13,0.58999997,,210101
199203,15,210101,10,0.56,,210101
198812,5,210101,3,0.44,,210101
199005,72,210101,4,0.44,,210101
199904,807,210101,5,0.38999999,,210101
199709,1,210101,3,0.31999999,,210101
199208,5,210101,7,0.63999999,,210101
199605,910,210101,5,0.41999999,R,210101
199211,11,210101,12,0.40000001,,210101
199511,926,210101,11,0.38999999,,210101
198811,2,210101,2,0.47,,210101
199310,802,210101,10,0.51999998,,210101
199307,3,210101,4,0.80000001,,210101
199805,808,210101,5,0.33000001,,210101
200203,12,210101,6,0.57999998,,210101
199310,901,210101,11,0.38999999,,210101
200306,90,210101,3,0.85000002,Q,210101
198912,901,210101,3,0.41999999,,210101
199011,178,210101,7,0.70999998,,210101
198905,12,210101,8,0.51999998,,210101
199603,81,210101,6,0.82999998,,210101
199601,130,210101,8,0.79000002,,210101
199605,153,210101,10,0.88999999,,210101
200303,10,210101,3,0.66000003,,210101
199306,911,210101,8,0.60000002,,210101
199801,55,210101,7,0.49000001,,210101
198908,30,210101,8,0.72000003,,210101
199005,4,210101,2,0.60000002,,210101
199505,911,210101,6,0.60000002,,210101
199207,249,210101,13,0.74000001,,210101
199709,803,210101,7,0.58999997,,210101
198912,1,210101,3,0.41999999,,210101
199409,802,210101,5,0.38999999,,210101
200212,803,210101,5,0.43000001,,210101
199010,3,210101,8,0.46000001,,210101
198905,30,210101,8,0.72000003,,210101
199012,150,210101,5,0.44,,210101
200001,15,210101,2,0.49000001,,210101
200103,801,210101,2,0.44999999,,210101
199208,3,210101,7,0.49000001,,210101
200311,53,210101,3,1.15,,210101
199504,911,210101,9,0.60000002,,210101
199606,19,210101,11,0.81999999,,210101
199310,4,210101,5,0.52999997,,210101
200308,9,210101,5,0.88999999,,210101
198805,49,210101,8,0.57999998,,210101
198804,1,210101,5,0.47999999,,210101
198903,3,210101,7,0.62,,210101
199405,206,210101,4,0.82999998,,210101
199312,52,210101,11,0.47,,210101
199202,802,210101,11,0.63,,210101
200001,937,210101,8,0.44999999,,210101
199203,184,210101,9,0.69,,210101
200102,801,210101,7,0.54000002,,210101
199807,937,210101,13,0.44999999,,210101
199607,81,210101,10,0.81,,210101
199509,2,210101,2,0.51999998,,210101
198807,1,210101,12,0.41999999,,210101
199106,4,210101,9,0.44999999,,210101
199001,901,210101,2,0.44,,210101
199404,73,210101,3,0.50999999,,210101
200311,808,210101,4,0.41,Q,210101
199106,55,210101,5,0.49000001,,210101
200012,50,210101,9,0.75,,210101
199109,18,210101,7,0.52999997,,210101
199710,911,210101,8,0.49000001,,210101
198909,901,210101,7,0.40000001,,210101
199707,44,210101,4,0.69,,210101
200208,808,210101,7,0.38999999,,210101
199106,3,210101,5,0.47,,210101
200207,26,210101,13,0.38999999,,210101
199612,77,210101,4,0.79000002,,210101
199603,901,210101,8,0.41999999,,210101
199510,3,210101,10,0.72000003,,210101
199402,55,210101,5,0.50999999,,210101
199507,25,210101,11,0.58999997,,210101
199102,6,210101,12,0.54000002,,210101
200303,952,210101,6,0.41,,210101
200302,803,210101,4,0.23,,210101
199412,250,210101,9,0.47,,210101
199010,96,210101,8,0.63,,210101
199009,30,210101,10,0.44,,210101
199001,1,210101,11,0.44,,210101
199107,3,210101,11,0.69999999,,210101
199906,808,210101,11,0.17,,210101
200202,808,210101,3,0.38999999,S,210101
199303,189,210101,2,0.69999999,,210101
200202,150,210101,8,0.89999998,,210101
200012,807,210101,3,0.38999999,,210101
199510,14,210101,9,0.82999998,,210101
198910,1,210101,10,0.41999999,,210101
198906,4,210101,12,0.46000001,,210101
199705,910,210101,3,0.41999999,,210101
199411,213,210101,7,0.36000001,,210101
198811,9,210101,6,0.56999999,,210101
200311,963,210101,4,0.68000001,,210101
198910,1,210101,7,0.44,,210101
198804,20,210101,3,0.41,,210101
200208,941,210101,3,0.58999997,,210101
200303,961,210101,6,0.63,,210101
199303,24,210101,2,0.69999999,,210101
200311,961,210101,7,0.68000001,,210101
199201,4,210101,13,0.58999997,,210101
199601,127,210101,13,0.58999997,,210101
199212,9,210101,13,0.67000002,,210101
200209,941,210101,6,0.58999997,,210101
199107,10,210101,3,0.43000001,,210101
198910,4,210101,8,0.57999998,,210101
200311,937,210101,7,0.58999997,,210101
199506,1,210101,6,0.49000001,,210101
199005,13,210101,10,0.44,,210101
198810,96,210101,8,0.56999999,,210101
199112,4,210101,9,0.44999999,,210101
199111,31,210101,6,0.43000001,,210101
200204,53,210101,3,1.05,,210101
199405,801,210101,12,0.49000001,,210101
198807,3,210101,11,0.41,,210101
199007,39,210101,12,0.50999999,,210101
199801,50,210101,6,0.51999998,,210101
199904,939,210101,12,0.17,,210101
199708,901,210101,13,0.41999999,,210101
199505,125,210101,6,0.81,,210101
198804,2,210101,8,0.44999999,,210101
198810,6,210101,4,0.56,,210101
200310,803,210101,2,0.72000003,Q,210101
199512,911,210101,2,0.63,,210101
199108,14,210101,10,0.44999999,,210101
200112,937,210101,3,0.58999997,,210101
200102,803,210101,6,0.72000003,,210101
200110,166,210101,5,0.94999999,,210101
199306,147,210101,12,0.63,,210101
199803,179,210101,8,0.72000003,,210101
200003,802,210101,12,0.49000001,Q,210101
200308,961,210101,3,0.63,,210101
199603,926,210101,5,0.41999999,,210101
200401,951,210101,4,0.41,,210101
199104,12,210101,3,0.69999999,,210101
200307,941,210101,3,0.63999999,,210101
199509,262,210101,10,0.79000002,,210101
199603,910,210101,6,0.41999999,,210101
199806,56,210101,6,0.56999999,,210101
199008,1,210101,9,0.41,,210101
199103,43,210101,7,0.66000003,,210101
198905,57,210101,9,0.43000001,,210101
199003,4,210101,10,0.60000002,,210101
199911,49,210101,2,0.99000001,,210101
198809,5,210101,9,0.56,,210101
198908,4,210101,4,0.50999999,,210101
198901,40,210101,7,0.44,,210101
199911,807,210101,7,0.38999999,,210101
199710,67,210101,8,0.69,,210101
198802,1,210101,4,0.41,,210101
198904,7,210101,4,0.44999999,,210101
200011,803,210101,11,0.23,,210101
199010,2,210101,2,0.44,,210101
200307,951,210101,2,0.36000001,,210101
200002,106,210101,3,0.38999999,,210101
199703,54,210101,3,0.64999998,,210101
199808,214,210101,3,0.69,,210101
200206,53,210101,3,1.05,,210101
199604,167,210101,3,0.63,,210101
198806,2,210101,3,0.41999999,,210101
199503,802,210101,10,0.44999999,,210101
199705,803,210101,12,0.58999997,,210101
200210,101,210101,8,0.94999999,,210101
199301,140,210101,11,0.58999997,,210101
200108,46,210101,12,0.63,,210101
199301,184,210101,9,0.70999998,,210101
199511,179,210101,8,0.51999998,,210101
200306,803,210101,2,0.69,R,210101
199307,1,210101,5,0.70999998,,210101
199401,910,210101,12,0.47,,210101
200103,42,210101,2,0.99000001,,210101
199705,72,210101,3,0.69,,210101
199701,803,210101,5,0.27000001,,210101
200209,807,210101,4,0.38999999,,210101
199308,802,210101,6,0.49000001,,210101
198905,130,210101,8,0.50999999,,210101
199701,43,210101,3,0.88,,210101
199511,901,210101,4,0.38999999,,210101
198807,2,210101,2,0.44999999,,210101
199211,901,210101,10,0.38999999,,210101
199709,937,210101,10,0.41999999,,210101
198908,13,210101,12,0.44,,210101
199609,802,210101,10,0.56,,210101
200010,15,210101,2,0.38999999,,210101
199108,901,210101,4,0.47,,210101
199509,802,210101,12,0.58999997,,210101
199111,901,210101,3,0.38999999,,210101
200109,26,210101,13,0.38999999,,210101
199506,803,210101,4,0.25,,210101
199908,126,210101,8,0.80000001,,210101
200101,156,210101,7,0.80000001,R,210101
198911,5,210101,10,0.49000001,,210101
199801,910,210101,13,0.37,S,210101
199708,25,210101,11,0.77999997,,210101
198805,29,210101,4,0.60000002,,210101
198908,11,210101,9,0.44,,210101
199903,70,210101,12,0.51999998,S,210101
199008,4,210101,10,0.37,,210101
199702,25,210101,9,0.33000001,,210101
199311,18,210101,7,0.60000002,,210101
198812,4,210101,10,0.40000001,,210101
199903,112,210101,2,0.73000002,,210101
199902,124,210101,3,0.88999999,,210101
199006,4,210101,12,0.57999998,,210101
198909,4,210101,9,0.47,,210101
198804,13,210101,9,0.44999999,,210101
198905,31,210101,6,0.44,,210101
198910,45,210101,7,0.60000002,,210101
199108,61,210101,2,0.66000003,,210101
199005,61,210101,2,0.60000002,,210101
200303,95,210101,3,0.73000002,,210101
199210,5,210101,9,0.69,,210101
200310,126,210101,8,0.88,,210101
198908,901,210101,2,0.37,,210101
198806,8,210101,4,0.43000001,,210101
200206,99,210101,5,0.69,,210101
200302,961,210101,6,0.57999998,,210101
199604,203,210101,3,0.79000002,,210101
200302,963,210101,7,0.58999997,,210101
199307,801,210101,12,0.49000001,,210101
199909,801,210101,4,0.34999999,,210101
199502,803,210101,12,0.57999998,,210101
198805,9,210101,7,0.41999999,,210101
200208,130,210101,2,0.66000003,,210101
199207,16,210101,9,0.54000002,,210101
199609,43,210101,7,0.72000003,,210101
199201,10,210101,7,0.69,,210101
200304,74,210101,13,0.72000003,,210101
199112,14,210101,7,0.41,,210101
200209,7,210101,7,0.49000001,Q,210101
199707,4,210101,12,0.41999999,,210101
200202,937,210101,7,0.58999997,Q,210101
199709,84,210101,9,0.94999999,,210101
199402,901,210101,7,0.28999999,,210101
199103,3,210101,6,0.55000001,,210101
199301,803,210101,7,0.54000002,,210101
199211,10,210101,6,0.76999998,,210101
199704,2,210101,3,0.51999998,,210101
199408,802,210101,3,0.38999999,,210101
200302,17,210101,6,0.88999999,,210101
199006,6,210101,9,0.60000002,,210101
199807,2,210101,3,0.28999999,,210101
199412,11,210101,11,0.77999997,,210101
199902,214,210101,3,0.55000001,S,210101
199407,22,210101,3,0.69,,210101
199503,9,210101,3,0.82999998,,210101
199208,127,210101,13,0.58999997,,210101
199809,129,210101,2,0.64999998,Q,210101
198812,7,210101,2,0.56,,210101
200311,801,210101,5,0.41,,210101
199310,803,210101,6,0.55000001,,210101
198807,20,210101,3,0.41999999,,210101
199207,911,210101,10,0.57999998,,210101
199904,808,210101,7,0.34999999,,210101
199409,901,210101,2,0.34999999,,210101
200108,40,210101,11,0.44999999,,210101
198810,901,210101,2,0.41999999,,210101
198803,21,210101,3,0.47999999,,210101
200104,802,210101,11,0.38999999,,210101
200209,807,210101,2,0.38999999,,210101
200103,937,210101,6,0.49000001,,210101
199103,2,210101,2,0.56,,210101
199006,58,210101,9,0.60000002,,210101
199208,910,210101,8,0.44999999,,210101
199602,150,210101,5,0.28999999,,210101
199807,9,210101,13,0.51999998,S,210101
200312,807,210101,3,0.44999999,,210101
200208,801,210101,10,0.75,,210101
198907,48,210101,4,0.67000002,,210101
199603,169,210101,12,0.81,,210101
200212,941,210101,4,0.58999997,,210101
199306,4,210101,4,0.80000001,,210101
200001,21,210101,6,0.38999999,,210101
200307,125,210101,8,0.79000002,,210101
200109,154,210101,9,0.72000003,,210101
199312,125,210101,7,0.58999997,R,210101
199009,136,210101,8,0.44,,210101
199003,43,210101,4,0.44,,210101
199905,17,210101,12,0.93000001,,210101
199112,3,210101,11,0.69999999,,210101
199602,803,210101,10,0.28999999,,210101
199601,280,210101,9,0.58999997,C,210101
199111,142,210101,7,0.49000001,,210101
199609,259,210101,3,0.44999999,,210101
200008,86,210101,2,0.38999999,,210101
198802,1,210101,12,0.47999999,,210101
198906,5,210101,7,0.47999999,,210101
200010,802,210101,10,0.64999998,,210101
199003,7,210101,2,0.44,,210101
200006,937,210101,5,0.44999999,,210101
198809,1,210101,7,0.44,,210101
199906,939,210101,12,0.17,,210101
199208,901,210101,10,0.38999999,,210101
199011,31,210101,3,0.58999997,,210101
199411,169,210101,12,0.86000001,,210101
200308,937,210101,9,0.58999997,,210101
